== MiniMind-Embedding 训练 (stage2, embed_dense_64m) ==
[load_pretrained_backbone] 已加载 /root/minimind-embeddings/checkpoints/embedding/embedding_stage1_768.pth
  完整加载: 93 个参数
  部分加载: 0 个(vocab 扩展,前 6400 行已拷贝)
  跳过:     0 个(embedding 模型忽略 lm_head / rerank 缺 head 属正常)
参数量: 64.5M
[HFEmbeddingDataset] 加载 sentence-transformers/t2ranking (config=triplet-15) split=train ...
[HFEmbeddingDataset] 共 340111 条
总步数: 63768, batch=16, accum=1
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: qinganli (qinganli-personal) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run w6li4xpj
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /root/minimind-embeddings/wandb/run-20260728_122846-w6li4xpj
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run cloud_stage2_FINAL_batch16_w128
wandb: ⭐️ View project at https://wandb.ai/qinganli-personal/minimind-embedding
wandb: 🚀 View run at https://wandb.ai/qinganli-personal/minimind-embedding/runs/w6li4xpj
[wandb] 已启用,project=minimind-embedding run=cloud_stage2_FINAL_batch16_w128
epoch 0 step 17800/63768 loss 1.3234 lr 8.38e-06
epoch 0 step 17900/63768 loss 1.2912 lr 8.36e-06
epoch 0 step 18000/63768 loss 1.2712 lr 8.34e-06
epoch 0 step 18100/63768 loss 1.3055 lr 8.33e-06
epoch 0 step 18200/63768 loss 1.2989 lr 8.31e-06
epoch 0 step 18300/63768 loss 1.2622 lr 8.29e-06
epoch 0 step 18400/63768 loss 1.2610 lr 8.27e-06
epoch 0 step 18500/63768 loss 1.3050 lr 8.26e-06
epoch 0 step 18600/63768 loss 1.2581 lr 8.24e-06
epoch 0 step 18700/63768 loss 1.2387 lr 8.22e-06
epoch 0 step 18800/63768 loss 1.2486 lr 8.20e-06
epoch 0 step 18900/63768 loss 1.2607 lr 8.19e-06
epoch 0 step 19000/63768 loss 1.2743 lr 8.17e-06
epoch 0 step 19100/63768 loss 1.2900 lr 8.15e-06
epoch 0 step 19200/63768 loss 1.2556 lr 8.13e-06
epoch 0 step 19300/63768 loss 1.2753 lr 8.11e-06
epoch 0 step 19400/63768 loss 1.2293 lr 8.10e-06
epoch 0 step 19500/63768 loss 1.2992 lr 8.08e-06
epoch 0 step 19600/63768 loss 1.2243 lr 8.06e-06
epoch 0 step 19700/63768 loss 1.2888 lr 8.04e-06
epoch 0 step 19800/63768 loss 1.2561 lr 8.02e-06
epoch 0 step 19900/63768 loss 1.2346 lr 8.01e-06
epoch 0 step 20000/63768 loss 1.2888 lr 7.99e-06
[save] checkpoints/embedding/embedding_stage2_768_step20000.pth + latest -> checkpoints/embedding/embedding_stage2_768.pth
epoch 0 step 20100/63768 loss 1.3142 lr 7.97e-06
epoch 0 step 20200/63768 loss 1.2737 lr 7.95e-06
epoch 0 step 20300/63768 loss 1.2475 lr 7.93e-06
epoch 0 step 20400/63768 loss 1.2870 lr 7.91e-06
epoch 0 step 20500/63768 loss 1.2642 lr 7.89e-06
epoch 0 step 20600/63768 loss 1.2278 lr 7.87e-06
epoch 0 step 20700/63768 loss 1.2765 lr 7.86e-06
epoch 0 step 20800/63768 loss 1.2849 lr 7.84e-06
epoch 0 step 20900/63768 loss 1.2068 lr 7.82e-06
